"Outcome","ID","bp_genA","bp_genT","bp_genC","bp_genG","bp_genome_total","fr_genA","fr_genT","fr_genC","fr_genG","genomic_topological_entropy_score","genomic_chargaff_score_pf","genomic_chargaff_score_ct","genomic_shannon_score","n_cds_plus","n_cds_minus","n_cds_total","bp_cdsA","bp_cdsT","bp_cdsC","bp_cdsG","bp_cds_total","fr_cdsA","fr_cdsT","fr_cdsC","fr_cdsG","cds_topological_entropy_score","cds_chargaff_score_pf","cds_chargaff_score_ct","cds_shannon_score","n_ncRNA_plus","n_ncRNA_minus","n_ncRNA_total","bp_ncRNA_A","bp_ncRNA_T","bp_ncRNA_C","bp_ncRNA_G","bp_ncRNA_total","fr_ncRNA_A","fr_ncRNA_T","fr_ncRNA_C","fr_ncRNA_G","ncRNA_topological_entropy_score","ncRNA_chargaff_score_pf","ncRNA_chargaff_score_ct","ncRNA_shannon_score","n_tRNA_plus","n_tRNA_minus","n_tRNA_total","bp_tRNA_A","bp_tRNA_T","bp_tRNA_C","bp_tRNA_G","bp_tRNA_total","fr_tRNA_A","fr_tRNA_T","fr_tRNA_C","fr_tRNA_G","tRNA_topological_entropy_score","tRNA_chargaff_score_pf","tRNA_chargaff_score_ct","tRNA_shannon_score","n_rRNA_plus","n_rRNA_minus","n_rRNA_total","bp_rRNA_A","bp_rRNA_T","bp_rRNA_C","bp_rRNA_G","bp_rRNA_total","fr_rRNA_A","fr_rRNA_T","fr_rRNA_C","fr_rRNA_G","rRNA_topological_entropy_score","rRNA_chargaff_score_pf","rRNA_chargaff_score_ct","rRNA_shannon_score"
"Archaea","NC_013156",504092,502632,237574,240763,1485061,0.34,0.34,0.16,0.16,0.9266,0.0081,0.9919,1.9066,734,722,1456,473864,365515,142667,263374,1245420,0.38,0.29,0.11,0.21,0.8736,0.4524,0.6466,1.8658,1,1,2,120,95,160,200,575,0.21,0.16,0.28,0.35,0.8947,0.2272,0.8001,1.9423,16,21,37,462,498,959,988,2907,0.16,0.17,0.33,0.34,0.8664,0.178,0.8458,1.9036,3,3,6,1936,1360,2620,3278,9194,0.21,0.14,0.31,0.35,0.8857,0.303,0.7456,1.9063
"Archaea","NC_014122",439979,441696,225830,220689,1328194,0.33,0.33,0.17,0.17,0.9182,0.0135,0.9867,1.9211,605,660,1265,393162,322060,131219,234825,1081266,0.36,0.3,0.12,0.22,0.8705,0.4163,0.6726,1.8829,1,1,2,137,88,160,200,585,0.24,0.15,0.27,0.34,0.8892,0.3239,0.7383,1.9289,16,22,38,461,510,976,1010,2957,0.16,0.17,0.33,0.34,0.8664,0.1692,0.8544,1.9021,3,3,6,1899,1352,2636,3286,9173,0.2,0.14,0.31,0.35,0.8911,0.2474,0.7832,1.9136
"Archaea","NC_013887",598509,598193,280280,283957,1760939,0.34,0.34,0.16,0.16,0.9243,0.0068,0.9933,1.9048,867,856,1723,559272,435401,170608,308178,1473459,0.38,0.3,0.11,0.21,0.8723,0.443,0.6536,1.8647,1,1,2,116,96,159,203,574,0.21,0.17,0.28,0.35,0.8967,0.2155,0.8082,1.9384,17,20,37,464,497,948,985,2894,0.16,0.17,0.33,0.34,0.8664,0.1779,0.8459,1.9052,3,3,6,1928,1376,2608,3282,9194,0.2,0.14,0.31,0.35,0.887,0.3004,0.7474,1.9074
"Archaea","NC_017034",563550,560495,623712,630681,2378438,0.24,0.24,0.26,0.27,0.9521,0.0083,0.9918,1.9978,1232,1084,2316,486907,406666,483391,581187,1958151,0.25,0.21,0.24,0.3,0.9035,0.2458,0.7897,1.9713,1,1,2,130,114,160,214,618,0.21,0.18,0.26,0.35,0.8993,0.2361,0.7938,1.9547,26,23,49,700,760,1055,1204,3719,0.19,0.2,0.28,0.33,0.873,0.2091,0.8196,1.9472,3,4,7,2290,1623,2321,2926,9160,0.25,0.15,0.29,0.31,0.8796,0.3697,0.7078,1.9378
"Archaea","NC_013665",665167,668227,812411,811830,2957635,0.22,0.23,0.27,0.27,0.9493,0.0027,0.9974,1.993,1399,1429,2828,560047,464096,655948,706292,2386383,0.24,0.19,0.27,0.3,0.9,0.212,0.8181,1.9645,1,1,2,129,113,158,217,617,0.21,0.18,0.26,0.35,0.8915,0.3288,0.7217,1.9437,33,16,49,696,763,1066,1205,3730,0.19,0.2,0.29,0.33,0.8759,0.1927,0.832,1.9485,3,5,8,2242,1812,2260,2930,9244,0.22,0.16,0.31,0.31,0.8904,0.3106,0.736,1.9325
"Archaea","NZ_CP073710",716053,713482,529572,535055,2494162,0.29,0.29,0.21,0.21,0.9506,0.0069,0.9931,1.9845,1113,1019,2132,578551,499917,387488,464796,1930752,0.3,0.26,0.2,0.24,0.9034,0.225,0.806,1.9701,1,1,2,170,144,155,199,668,0.25,0.22,0.23,0.3,0.9158,0.2114,0.815,1.9864,39,21,60,857,945,1326,1481,4609,0.18,0.2,0.29,0.32,0.8808,0.1717,0.8491,1.951,11,8,19,5954,5047,5213,6907,23121,0.24,0.22,0.26,0.29,0.8983,0.1399,0.874,1.9861
"Archaea","NZ_CP026606",570431,579962,282464,282061,1714918,0.33,0.34,0.16,0.16,0.9326,0.009,0.9911,1.9141,766,858,1624,506866,384642,198001,259885,1349394,0.38,0.29,0.14,0.19,0.8841,0.3052,0.743,1.8947,1,1,2,156,141,110,147,554,0.29,0.25,0.2,0.26,0.8941,0.2283,0.7993,1.9824,16,22,38,516,629,845,944,2934,0.18,0.21,0.29,0.32,0.876,0.2078,0.8214,1.9482,9,1,10,3377,2932,3211,4245,13765,0.25,0.23,0.24,0.28,0.909,0.1494,0.8649,1.9884
"Archaea","NC_008942",450744,451618,453121,449479,1804962,0.25,0.25,0.25,0.25,0.9525,0.005,0.995,2,874,879,1753,395392,356332,385566,399934,1537224,0.26,0.23,0.25,0.26,0.9043,0.177,0.845,1.9839,1,1,2,151,126,149,198,624,0.24,0.2,0.24,0.32,0.9035,0.255,0.7806,1.9758,22,31,53,750,851,1110,1265,3976,0.19,0.21,0.28,0.32,0.8839,0.1745,0.8466,1.9579,3,6,9,3552,3066,3006,3897,13521,0.25,0.23,0.25,0.28,0.913,0.179,0.8383,1.9891
"Archaea","NZ_CM001555",483763,482037,753686,755014,2475100,0.2,0.19,0.3,0.31,0.939,0.0027,0.9973,1.9649,1236,1100,2336,414885,379777,649860,651896,2096418,0.2,0.18,0.3,0.31,0.8901,0.1761,0.8462,1.941,1,1,2,140,100,173,236,649,0.21,0.15,0.27,0.36,0.8943,0.3161,0.7351,1.9287,25,25,50,666,766,1085,1245,3762,0.18,0.2,0.29,0.33,0.8806,0.195,0.8291,1.9428,3,3,6,2322,1868,2090,2752,9032,0.25,0.19,0.26,0.3,0.9113,0.2397,0.7891,1.9777
"Archaea","NZ_CP113361",662602,665717,664068,655777,2648164,0.25,0.25,0.25,0.25,0.9525,0.0086,0.9914,2,1158,1290,2448,559701,519814,540890,588999,2209404,0.26,0.24,0.24,0.27,0.9039,0.1864,0.8368,1.9782,1,1,2,143,127,173,225,668,0.21,0.19,0.26,0.34,0.9048,0.2307,0.7956,1.9613,28,21,49,680,792,1020,1191,3683,0.18,0.21,0.28,0.32,0.8847,0.2011,0.8245,1.9538,3,8,11,3911,3237,3404,4588,15140,0.25,0.2,0.25,0.31,0.9013,0.2357,0.7936,1.977
"Archaea","NZ_CP091277",600306,609286,653458,650866,2513916,0.24,0.24,0.26,0.26,0.9525,0.0094,0.9906,1.999,1098,1141,2239,503248,472975,530878,573453,2080554,0.25,0.23,0.25,0.28,0.9033,0.1778,0.8441,1.979,1,1,2,141,127,164,233,665,0.21,0.19,0.25,0.35,0.8962,0.3149,0.7305,1.9524,26,23,49,677,782,1030,1197,3686,0.18,0.21,0.28,0.32,0.8842,0.1968,0.8281,1.9523,6,7,13,4742,3904,4060,5456,18162,0.25,0.21,0.25,0.29,0.8996,0.2085,0.8139,1.9842
"Archaea","NC_014253",705471,715512,418656,402678,2242317,0.31,0.32,0.19,0.18,0.9421,0.0265,0.9739,1.9477,853,1082,1935,580558,458239,281648,349808,1670253,0.35,0.27,0.16,0.21,0.8949,0.2694,0.7701,1.9315,1,1,2,160,140,160,205,665,0.24,0.21,0.24,0.31,0.9054,0.1899,0.8283,1.9846,21,29,50,702,760,1088,1243,3793,0.19,0.2,0.29,0.33,0.8815,0.2046,0.8258,1.9427,3,3,6,2260,1785,2150,2851,9046,0.24,0.19,0.26,0.31,0.905,0.2318,0.7943,1.9722
"Archaea","NZ_CP017921",589713,575503,428145,429598,2022959,0.29,0.28,0.21,0.21,0.9513,0.0139,0.9863,1.9832,972,883,1855,505920,429971,326721,391555,1654167,0.31,0.26,0.19,0.24,0.9028,0.2324,0.7998,1.9663,1,1,2,160,137,162,201,660,0.24,0.21,0.25,0.3,0.9197,0.1863,0.8304,1.9859,19,30,49,675,763,1096,1215,3749,0.18,0.2,0.29,0.33,0.8778,0.1857,0.8381,1.9429,3,1,4,1224,968,1064,1384,4640,0.27,0.2,0.25,0.28,0.8938,0.2151,0.8104,1.9864
"Archaea","NC_014002",572776,581989,429000,428659,2012424,0.28,0.29,0.21,0.21,0.9503,0.0084,0.9917,1.9842,892,913,1805,488016,415665,318208,383312,1605201,0.31,0.26,0.19,0.24,0.903,0.2328,0.7993,1.9674,1,1,2,160,133,162,204,659,0.24,0.2,0.25,0.31,0.9163,0.2077,0.8124,1.9828,33,20,53,731,824,1168,1306,4029,0.18,0.2,0.29,0.33,0.8781,0.1832,0.8397,1.945,6,3,9,3567,2833,3110,4056,13566,0.26,0.21,0.24,0.29,0.9045,0.215,0.8084,1.9872
"Archaea","NC_014507",753786,741808,673075,674621,2843290,0.27,0.26,0.24,0.24,0.9522,0.0092,0.9909,1.998,1385,1232,2617,644344,539349,522294,601667,2307654,0.28,0.24,0.22,0.26,0.9039,0.2177,0.8116,1.9768,1,1,2,139,110,159,214,622,0.22,0.18,0.26,0.34,0.9054,0.2663,0.7744,1.9538,25,23,48,664,779,1009,1163,3615,0.18,0.21,0.28,0.32,0.8822,0.1938,0.8299,1.954,3,4,7,2380,1973,2042,2748,9143,0.24,0.2,0.27,0.29,0.9031,0.2129,0.8094,1.977
"Archaea","NZ_CP133594",763595,768190,546013,545513,2623311,0.29,0.29,0.21,0.21,0.9496,0.0035,0.9966,1.9796,1110,1168,2278,649935,548735,405855,492499,2097024,0.31,0.26,0.19,0.24,0.9028,0.2282,0.8027,1.9664,1,1,2,176,158,157,207,698,0.25,0.23,0.22,0.3,0.915,0.1961,0.8252,1.989,33,24,57,805,899,1246,1398,4348,0.18,0.21,0.29,0.33,0.8806,0.1802,0.8433,1.9501,7,6,13,4653,3935,4126,5504,18218,0.24,0.22,0.25,0.29,0.905,0.1634,0.8526,1.9875
"Archaea","NC_019977",694482,699123,515943,519356,2428904,0.29,0.29,0.21,0.21,0.9519,0.0066,0.9934,1.9842,1106,1049,2155,576432,493517,379450,464853,1914252,0.31,0.26,0.19,0.24,0.9038,0.2337,0.7978,1.9699,1,1,2,165,143,157,201,666,0.25,0.22,0.24,0.3,0.9054,0.1921,0.8301,1.9866,23,28,51,722,802,1117,1253,3894,0.18,0.2,0.29,0.32,0.8829,0.1832,0.841,1.9488,3,3,6,2317,1950,2044,2740,9051,0.25,0.21,0.25,0.29,0.9095,0.1949,0.8249,1.986
"Archaea","NZ_CM001436",966608,883032,690757,659849,3200946,0.3,0.28,0.22,0.21,0.9446,0.0681,0.9344,1.9813,1365,1399,2764,770682,649854,484198,600251,2504985,0.31,0.26,0.19,0.24,0.8978,0.2523,0.7852,1.9613,1,1,2,149,116,158,202,625,0.24,0.19,0.25,0.32,0.903,0.2428,0.7885,1.9691,26,30,56,779,922,1167,1343,4211,0.18,0.22,0.28,0.32,0.8855,0.1987,0.826,1.9557,1,6,7,1297,1055,1163,1495,5010,0.24,0.19,0.28,0.29,0.892,0.1959,0.8242,1.9744
"Archaea","NZ_CP043875",688009,692696,468468,463357,2312530,0.3,0.3,0.2,0.2,0.9449,0.0089,0.9912,1.9726,959,1065,2024,571979,480939,339236,413048,1805202,0.32,0.27,0.18,0.23,0.8987,0.2381,0.7957,1.9574,1,1,2,154,138,145,197,634,0.24,0.22,0.23,0.31,0.9145,0.2447,0.7853,1.9811,29,29,58,812,920,1228,1398,4358,0.19,0.21,0.28,0.32,0.8844,0.1745,0.8462,1.9516,7,6,13,4749,3990,3992,5443,18174,0.26,0.21,0.24,0.29,0.9141,0.1923,0.8293,1.9866
"Archaea","NC_003551",329926,328414,520760,515869,1694969,0.19,0.19,0.31,0.3,0.9459,0.007,0.993,1.9638,570,608,1178,205356,181203,274225,342890,1003674,0.21,0.18,0.27,0.34,0.8931,0.2339,0.7988,1.9425,1,1,2,91,54,241,293,679,0.13,0.08,0.36,0.43,0.8277,0.3274,0.7334,1.7183,20,15,35,384,380,1015,1007,2786,0.14,0.14,0.36,0.36,0.8288,0.222,0.8162,1.8341,2,1,3,906,574,1444,1814,4738,0.18,0.11,0.33,0.39,0.8557,0.3241,0.7312,1.8406
"Archaea","NZ_CP019470",303112,302234,411920,412943,1430309,0.21,0.21,0.29,0.29,0.9526,0.0027,0.9973,1.9829,503,506,1009,195323,169655,220599,281468,867045,0.23,0.2,0.25,0.33,0.9022,0.2413,0.7927,1.9634,1,1,2,90,64,234,291,679,0.13,0.09,0.35,0.43,0.8323,0.2886,0.7624,1.7466,21,14,35,385,377,1017,1007,2786,0.14,0.14,0.36,0.36,0.8269,0.2148,0.8221,1.8324,2,1,3,906,572,1448,1809,4735,0.18,0.11,0.33,0.39,0.855,0.3225,0.7325,1.8407
"Archaea","NC_003552",1638004,1658700,1228410,1226378,5751492,0.28,0.29,0.21,0.21,0.9524,0.0071,0.9929,1.9845,2047,2051,4098,1128205,932058,798599,915027,3773889,0.3,0.25,0.2,0.24,0.901,0.2338,0.8002,1.9676,1,1,2,166,132,170,209,677,0.24,0.19,0.25,0.31,0.9066,0.2159,0.8053,1.9811,29,28,57,791,896,1235,1397,4319,0.18,0.21,0.29,0.33,0.883,0.1896,0.8335,1.9502,6,3,9,3338,2826,3251,4099,13514,0.23,0.21,0.26,0.29,0.9125,0.1682,0.8469,1.9833
"Archaea","NZ_CP009530",1368025,1333975,871886,874089,4447979,0.31,0.3,0.2,0.2,0.8563,0.0139,0.9863,1.9663,1594,1478,3072,852060,713607,530726,624394,2720787,0.32,0.26,0.19,0.23,0.8998,0.2318,0.8009,1.9599,1,1,2,163,130,166,214,673,0.24,0.19,0.25,0.32,0.9095,0.2352,0.791,1.9755,35,25,60,848,942,1294,1460,4544,0.19,0.21,0.29,0.32,0.8813,0.1753,0.8449,1.9529,3,6,9,3416,2819,3229,4057,13521,0.23,0.22,0.26,0.29,0.9104,0.1936,0.8247,1.9849
"Archaea","NZ_CP032683",964340,963000,680141,676207,3283688,0.29,0.29,0.21,0.21,0.9501,0.0036,0.9964,1.9781,1203,1185,2388,636486,540893,426999,504139,2108517,0.31,0.26,0.2,0.24,0.9029,0.2251,0.8051,1.9696,1,1,2,159,120,171,226,676,0.23,0.18,0.25,0.34,0.9029,0.2763,0.7594,1.9604,26,26,52,724,823,1118,1271,3936,0.18,0.21,0.28,0.32,0.8825,0.1863,0.8361,1.9519,3,6,9,3402,2787,3228,4110,13527,0.23,0.2,0.27,0.3,0.916,0.175,0.8417,1.9757
"Archaea","NZ_CP009515",1207815,1200610,865915,865468,4139808,0.29,0.29,0.21,0.21,0.95,0.0032,0.9968,1.9806,1535,1415,2950,811128,664868,552980,632735,2661711,0.31,0.25,0.2,0.24,0.9,0.234,0.7999,1.9657,1,1,2,169,138,161,208,676,0.25,0.2,0.24,0.31,0.9095,0.2266,0.7983,1.9827,31,25,56,766,897,1214,1380,4257,0.18,0.21,0.29,0.33,0.8827,0.1935,0.83,1.9502,6,3,9,3365,2843,3196,4117,13521,0.23,0.22,0.26,0.29,0.908,0.1821,0.8352,1.9844
"Archaea","NZ_CP009524",1338335,1365040,902635,893104,4499114,0.3,0.3,0.2,0.2,0.9514,0.0152,0.9849,1.9704,1500,1658,3158,878283,736652,559604,654464,2829003,0.32,0.26,0.19,0.23,0.9001,0.2302,0.802,1.9623,1,1,2,164,131,163,215,673,0.24,0.19,0.24,0.32,0.9054,0.2452,0.783,1.9752,28,32,60,838,951,1290,1465,4544,0.18,0.21,0.28,0.32,0.8832,0.1765,0.8439,1.9535,6,3,9,3410,2812,3230,4072,13524,0.23,0.21,0.26,0.29,0.9075,0.1935,0.825,1.9836
"Archaea","NZ_CP009520",1340341,1373044,902862,889505,4505752,0.3,0.3,0.2,0.2,0.951,0.0195,0.9807,1.9696,1463,1658,3121,877478,732582,555251,650858,2816169,0.32,0.26,0.19,0.23,0.9001,0.2306,0.8016,1.9619,1,1,2,163,131,163,216,673,0.24,0.19,0.24,0.32,0.906,0.2448,0.7833,1.9749,30,30,60,838,950,1289,1464,4541,0.18,0.21,0.28,0.32,0.8824,0.1785,0.8422,1.9534,6,3,9,3413,2810,3231,4070,13524,0.23,0.21,0.26,0.29,0.9075,0.1939,0.8247,1.9836
"Archaea","NZ_CP014213",949412,974177,471460,473044,2868093,0.33,0.34,0.16,0.16,0.9322,0.0146,0.9856,1.9141,980,990,1970,812549,564541,343341,399483,2119914,0.38,0.27,0.15,0.19,0.884,0.3225,0.7348,1.8944,1,1,2,186,178,95,148,607,0.31,0.29,0.16,0.24,0.8931,0.3108,0.7373,1.9489,16,21,37,503,587,781,920,2791,0.18,0.21,0.28,0.33,0.882,0.2106,0.817,1.9474,6,1,7,2308,2554,1778,2722,9362,0.25,0.28,0.2,0.27,0.899,0.2135,0.8141,1.9843
"Archaea","NC_007796",981407,962916,803496,796919,3544738,0.28,0.27,0.23,0.22,0.9479,0.0136,0.9865,1.9932,1595,1577,3172,827406,772938,649297,723818,2973459,0.28,0.26,0.21,0.24,0.9033,0.1665,0.8528,1.9792,1,1,2,144,118,150,200,612,0.24,0.19,0.25,0.33,0.9083,0.2387,0.7934,1.9702,27,24,51,724,817,1056,1237,3834,0.19,0.21,0.28,0.32,0.8807,0.1917,0.8322,1.9549,4,10,14,4806,3841,4170,5474,18291,0.25,0.21,0.25,0.29,0.9085,0.2083,0.8131,1.9852
"Archaea","NC_008553",436475,436628,506176,500192,1879471,0.23,0.23,0.27,0.27,0.9496,0.0061,0.9939,1.9964,713,845,1558,341610,291520,334458,430346,1397934,0.25,0.21,0.23,0.31,0.9017,0.2436,0.7899,1.9752,1,1,2,129,104,169,215,617,0.21,0.17,0.27,0.35,0.8981,0.2292,0.7997,1.9446,28,20,48,665,725,1092,1236,3718,0.18,0.19,0.3,0.33,0.8666,0.2437,0.7956,1.9252,3,3,6,2198,1574,2314,2936,9022,0.24,0.17,0.28,0.32,0.8974,0.2744,0.7618,1.9572
"Archaea","NZ_CP100445",716793,714098,1254708,1256904,3942503,0.18,0.18,0.32,0.32,0.9327,0.0028,0.9972,1.9451,1799,1897,3696,604097,513646,1014486,1022085,3154314,0.19,0.17,0.32,0.32,0.8777,0.1885,0.8383,1.9284,1,1,2,155,99,277,301,832,0.18,0.12,0.33,0.37,0.8777,0.2553,0.7849,1.8747,28,21,49,667,740,1092,1201,3700,0.18,0.2,0.3,0.33,0.8758,0.198,0.8292,1.9409,3,3,6,2229,1609,2331,2867,9036,0.23,0.17,0.29,0.31,0.9068,0.2565,0.7734,1.9507
"Archaea","NZ_CP100756",694633,693006,1135530,1138143,3661312,0.19,0.19,0.31,0.31,0.9359,0.0023,0.9977,1.9573,1686,1696,3382,570482,485619,905146,909813,2871060,0.2,0.17,0.31,0.32,0.8837,0.183,0.8422,1.9402,1,1,2,154,107,273,297,831,0.18,0.13,0.33,0.36,0.8799,0.2183,0.8112,1.8895,28,20,48,655,721,1075,1176,3627,0.18,0.2,0.3,0.32,0.8741,0.1949,0.8321,1.9402,3,3,6,2234,1624,2309,2865,9032,0.22,0.17,0.29,0.32,0.9086,0.2366,0.7898,1.9501
"Archaea","NZ_CP071463",640528,635397,1154647,1158302,3588874,0.18,0.18,0.32,0.32,0.931,0.0056,0.9944,1.9389,1740,1723,3463,561320,475375,979440,978003,2994138,0.19,0.16,0.32,0.33,0.8758,0.1897,0.8374,1.9204,1,1,2,144,93,255,269,761,0.19,0.13,0.33,0.35,0.8791,0.2326,0.8073,1.884,26,23,49,672,744,1089,1193,3698,0.18,0.2,0.29,0.32,0.8746,0.1845,0.8406,1.9434,6,4,10,3365,2517,3471,4316,13669,0.23,0.18,0.28,0.31,0.9049,0.2349,0.7915,1.9628
"Archaea","NZ_CP040637",623784,615397,1131090,1133682,3503953,0.18,0.18,0.32,0.32,0.9305,0.0079,0.9921,1.9373,1658,1734,3392,543149,464032,955518,953304,2916003,0.19,0.16,0.32,0.33,0.8761,0.1878,0.8386,1.9178,1,1,2,163,109,282,307,861,0.19,0.13,0.33,0.36,0.8824,0.2352,0.7977,1.8872,27,24,51,703,773,1132,1236,3844,0.18,0.2,0.29,0.32,0.874,0.1866,0.8402,1.9425,3,7,10,3381,2499,3491,4302,13673,0.23,0.18,0.28,0.31,0.9068,0.1901,0.8301,1.9669
"Archaea","NC_019962",663871,665379,1232223,1229006,3790479,0.18,0.18,0.33,0.32,0.9272,0.0024,0.9976,1.9347,1846,1801,3647,577593,493770,1044074,1036543,3151980,0.19,0.16,0.33,0.33,0.8741,0.1886,0.8387,1.9115,1,1,2,165,115,327,340,947,0.17,0.12,0.34,0.36,0.8812,0.1877,0.838,1.8696,30,19,49,662,731,1101,1204,3698,0.18,0.2,0.3,0.33,0.8776,0.1796,0.8443,1.9395,3,7,10,3395,2489,3499,4290,13673,0.23,0.18,0.28,0.31,0.908,0.1977,0.8232,1.9656
"Archaea","NZ_CP084469",760413,751388,1339955,1338551,4190307,0.18,0.18,0.32,0.32,0.9358,0.0065,0.9935,1.9433,2019,2028,4047,665326,559903,1137565,1148469,3511263,0.19,0.16,0.32,0.33,0.8763,0.1948,0.8331,1.9227,1,1,2,153,105,266,276,800,0.19,0.13,0.33,0.35,0.8805,0.2088,0.8203,1.8968,25,26,51,701,772,1146,1255,3874,0.18,0.2,0.3,0.32,0.8783,0.1782,0.8453,1.9418,7,3,10,3388,2530,3476,4278,13672,0.23,0.18,0.29,0.3,0.9101,0.2149,0.8077,1.9668
"Archaea","NZ_CP101456",713006,712452,1326317,1323315,4075090,0.17,0.17,0.33,0.32,0.9273,0.0015,0.9985,1.9339,1977,1944,3921,624764,539062,1139536,1131971,3435333,0.18,0.16,0.33,0.33,0.8726,0.1868,0.8391,1.9121,1,1,2,151,100,274,299,824,0.18,0.12,0.33,0.37,0.8805,0.2484,0.7877,1.8713,23,27,50,684,759,1125,1249,3817,0.18,0.2,0.3,0.33,0.8753,0.1902,0.8366,1.9382,3,3,6,2191,1608,2338,2895,9032,0.22,0.17,0.29,0.32,0.9065,0.2182,0.8051,1.9521
"Archaea","NC_019974",704045,703157,1303287,1302727,4013216,0.18,0.18,0.32,0.32,0.9242,8e-04,0.9992,1.9346,1979,1904,3883,609734,522086,1097044,1114873,3343737,0.18,0.16,0.33,0.33,0.8713,0.1912,0.8369,1.909,1,1,2,171,107,314,329,921,0.18,0.12,0.34,0.36,0.8712,0.2386,0.802,1.8729,25,29,54,738,812,1203,1320,4073,0.18,0.2,0.3,0.32,0.877,0.1717,0.8496,1.9439,7,6,13,4414,3209,4798,5765,18186,0.23,0.17,0.29,0.31,0.9063,0.217,0.8062,1.9608
"Archaea","NZ_CP132294",730490,726324,1343339,1344996,4145149,0.18,0.18,0.32,0.32,0.9242,0.0035,0.9965,1.9354,2001,1911,3912,618645,520115,1112676,1123426,3374862,0.19,0.16,0.32,0.33,0.8713,0.1906,0.837,1.9116,1,1,2,152,100,272,279,803,0.19,0.12,0.34,0.35,0.8838,0.2206,0.8139,1.8851,32,22,54,726,801,1214,1326,4067,0.18,0.2,0.3,0.33,0.8761,0.1815,0.8428,1.9358,4,6,10,3358,2476,3551,4281,13666,0.22,0.17,0.3,0.31,0.8997,0.2214,0.802,1.9484
"Archaea","NZ_CP101458",500454,499963,988191,988384,2976992,0.17,0.17,0.33,0.33,0.9262,6e-04,0.9994,1.921,1453,1524,2977,450109,385944,861994,862492,2560539,0.18,0.15,0.33,0.34,0.8691,0.1886,0.8389,1.8986,1,1,2,149,91,276,291,807,0.18,0.11,0.34,0.36,0.8714,0.2633,0.7828,1.8638,21,27,48,657,726,1075,1175,3633,0.19,0.2,0.3,0.32,0.8829,0.2045,0.8339,1.9274,3,3,6,2220,1623,2315,2872,9030,0.23,0.17,0.28,0.32,0.9071,0.2246,0.8006,1.9575
"Archaea","NZ_OY734802",755294,767017,419840,417128,2359279,0.32,0.33,0.18,0.18,0.9386,0.0109,0.9891,1.9382,1186,1188,2374,535545,415295,247755,305050,1503645,0.36,0.27,0.16,0.2,0.884,0.284,0.7615,1.9195,1,1,2,185,119,124,165,593,0.32,0.2,0.21,0.28,0.9022,0.3535,0.7144,1.961,26,21,47,689,796,1010,1126,3621,0.19,0.21,0.28,0.32,0.8671,0.2802,0.7731,1.9337,2,1,3,1225,1026,981,1349,4581,0.26,0.22,0.23,0.29,0.9216,0.1779,0.842,1.99
"Archaea","NC_000868",486862,489003,395973,393280,1765118,0.28,0.28,0.22,0.22,0.9514,0.0056,0.9944,1.9919,872,911,1783,473036,374553,284954,412685,1545228,0.31,0.24,0.18,0.27,0.9018,0.3376,0.7216,1.9623,12,9,21,356,329,415,618,1718,0.22,0.22,0.21,0.34,0.8155,0.3516,0.7194,1.9431,26,20,46,536,539,1278,1298,3651,0.15,0.15,0.35,0.35,0.8568,0.1623,0.8605,1.8652,3,1,4,934,670,1407,1783,4794,0.18,0.13,0.33,0.37,0.875,0.2288,0.8021,1.8781
"Archaea","NZ_CP023154",559348,560395,384737,385434,1889914,0.3,0.3,0.2,0.2,0.9475,0.0018,0.9982,1.9752,945,967,1912,542068,420755,273393,397815,1634031,0.33,0.26,0.16,0.24,0.8965,0.3479,0.7148,1.9446,9,9,18,333,292,373,546,1544,0.24,0.22,0.21,0.33,0.8083,0.3579,0.7094,1.947,19,27,46,536,536,1284,1300,3656,0.15,0.15,0.35,0.35,0.8559,0.1523,0.8673,1.864,3,1,4,935,678,1403,1775,4791,0.18,0.13,0.32,0.36,0.8743,0.2135,0.8127,1.8862
"Archaea","NC_000961",504060,506377,368626,359442,1738505,0.29,0.29,0.21,0.21,0.9484,0.0149,0.9853,1.9808,841,903,1744,483215,384862,254331,380457,1502865,0.32,0.26,0.17,0.25,0.8983,0.3511,0.7128,1.95,11,9,20,357,318,404,580,1659,0.24,0.22,0.21,0.32,0.811,0.306,0.7498,1.9503,18,28,46,532,536,1285,1303,3656,0.15,0.15,0.35,0.35,0.857,0.1494,0.8698,1.863,3,1,4,934,682,1397,1778,4791,0.18,0.14,0.32,0.37,0.8784,0.2014,0.8204,1.8941
"Archaea","NZ_CP010835",541989,552902,427613,454622,1977126,0.27,0.28,0.22,0.23,0.9522,0.0406,0.9604,1.9913,1135,890,2025,509064,411809,313719,443902,1678494,0.31,0.25,0.18,0.26,0.9013,0.3249,0.7311,1.9617,7,8,15,281,250,357,484,1372,0.23,0.23,0.23,0.32,0.8077,0.2645,0.776,1.9576,27,20,47,556,547,1310,1319,3732,0.15,0.15,0.35,0.35,0.8564,0.1625,0.8596,1.8666,2,2,4,930,673,1408,1779,4790,0.18,0.13,0.32,0.37,0.8847,0.2163,0.8099,1.8845
